year,ghg
1990,191.31
1991,202.71
1992,205.43
1993,212.15
1994,220.4
1995,228.14
1996,238.56
1997,250.1
1998,279.85
1999,256.39
2000,268.05
2001,259.36
2002,276.35
2003,285.75
2004,311.44
2005,326.97
2006,322.65
2007,346.93
2008,358.4
2009,353.42
2010,365.47
2011,141.65
2012,141.92
2013,164.3
2014,197.72
2015,181.87
2016,369.19
2017,353.3
2018,376.42
2019,382.29
2020,371.93
2021,373.81
2022,387.45
